"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"Petani Karet Serlin","Petani Karet","101","15","2","2012","","","","","",""
"Petani Karet Irman","Petani Karet","302","40","1","2012","","","","","",""
"USAHA RAKYAT MEKAR ASIH","Ternak Itik","338","912","19","2011","","","","","",""
"Petani Padi Saota","Petani Padi","203","108","2","2012","","","","","",""
"Petani Padi Sarumaha","Petani Padi","203","42","5","2012","","","","","",""
"Petani Padi Sudi Hati","Petani Padi","60","20","2","2012","","","","","",""
"Petani Padi Sadariang","Petani Padi","201","15","2","2012","","","","","",""
"Petani Padi Zega","Petani Padi","61","16","1","2012","","","","","",""
"Petani Padi Tasuku","Peternak Babi","64","48","2","2012","","","","","",""
"Nelayan Tasuri","Nelayan","47","48","2","2012","","","","","",""
"Petani Karet Adrianus","Petani Karet","79","24","2","2012","","","","","",""
"Petani Karet Bajisakhi","Petani Karet","105","18","4","2012","","","","","",""
"Petani Karet Bazrotei","Petani Karet","106","35","1","2012","","","","","",""
"Petani Karet Risima Bali","Petani Karet","52","19","1","2012","","","","","",""
"Petani Karet Sinura","Petani Karet","80","22","1","2012","","","","","",""
"Petani Padi Nasib Murni","Petani Padi","33","20","1","2012","","","","","",""
"Petani Padi Sarumaha","Petani Padi","35","54","1","2012","","","","","",""
"Petani Karet Daligolo","Petani Karet","89","44","1","2012","","","","","",""
"Petani Karet Namikasi","Petani Karet","64","42","1","2012","","","","","",""
"Peternak Babi Sedih Hati","Peternak Babi","25","26","1","2012","","","","","",""
"Nelayan Eli Yakin","Nelayan","32","62","1","2012","","","","","",""
"Nelayan Bajo","Nelayan","37","46","1","2012","","","","","",""
"Kolam Mujaer Dotamana","Kolam Mujaer Dotamana","0","0","4","2012","","","","","",""
"Taruna Budaya-Ternak","Ternak+jamur","4.25","53","30","2012","","","","","",""
"Warung Kopi","Warung Kopi","27.25","33.75","2","2009","","","","","",""
"Siti Naimah","Penyembelihan Sapi","685","4,000","4","2009","","","","","",""
"Abdul Malik","Jelly "" Lidah Buaya ""","122.81","69.12","3","2009","","","","","",""
"Yulita Surati","Sambal Pecel","93","210","5","2009","","","","","",""
"Juri Harsono","Pakan Ternak","135.7","456","5","2009","","","","","",""
