"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"Aldien","Pembuatan Bantal Boneka","581","26.5","5","2008","","","","","",""
"Cv.Batik Semarang 16","Pembuatan Baju Batik","582","140","52","2008","","","","","",""
"Not Available","Fiber","20","52","1","2011","","","","","",""
"Diva Art","Pembuatan Furniture (Mebel) Ukir","804","0","20","2008","","","","","",""
"-","Pembuatan Gula Kacang","242.25","0","2","2008","","","","","",""
"-","Pembuatan Kukusan, Tompo, Irik, dan Kalo","40.75","0","1","2008","","","","","",""
"Tembakau HS/Suharmi","Pengolahan Tembakau","792.5","0","6","2008","","","","","",""
"Bimobaru","Pembuatan Paving, Batako, dan bus Beton","2,050","20","40","2008","","","","","",""
"Kanthil Azzaro","Pembuatan Anthurium","908.4","0","2","2008","","","","","",""
"Barokah","Pengolahan Tempe","1,051","0","6","2008","","","","","",""
"Bagas Jaya","Pembuatan Makaroni, Stick Ketela, Opak, dan Balole","172","0","13","2008","","","","","",""
"Srikandi","Pembuatan Keripik Paru","381.55","97.5","5","2008","","","","","",""
"UDSido Dadi","Pembuatan Minuman Instan","901.74","50","6","2008","","","","","",""
"Albarokah Jaya Abadi","Pembuatan Mebel","88.15","40","3","2008","","","","","",""
"Titah Langit","Pembuatan Lukisan","638.75","10.5","2","2008","","","","","",""
"APE (Alat Permainan Edukatif) Bina Karya","Pembuatan Alat Permainan Edukatif","483.4","25","14","2008","","","","","",""
"Bulan Purnama","Pembuatan Kerupuk Rambak","91","18","3","2008","","","","","",""
"Krupuk Nglumpit","Pembuatan Kerupuk","38","15","2","2008","","","","","",""
"Dadi Makmur Cap Gurami","Pembuatan Kerupuk","107.4","25","4","2008","","","","","",""
"-","Pembuatan Batu Bata","12.07","9","5","2008","","","","","",""
"-","Pengolahan Rangkaian Parcel","64.65","20","16","2008","","","","","",""
"Cepak Mebel","Pembuatan Mebel","85.7","22","2","2008","","","","","",""
"Langgeng Jaya","Pembuatan Silikon (Pengkilat, Pembersih)","557.15","76.8","22","2008","","","","","",""
"-","Pembuatan Batu Bata","52.87","9","4","2008","","","","","",""
"Super","Pembuatan Kerupuk Rambak","39.5","30","5","2008","","","","","",""
"Arofah","Memproduksi Tepung Mocaf","226.27","28","3","2012","","","","","",""
"Mega Snack","Membuat Aneka Makanan Basahan","140.25","27.5","3","2012","","","","","",""
"Krupuk Hasil Laut","Memproduksi Krupuk","5.87","153","3","2012","","","","","",""
"Mbak Tiek Snack","Memproduksi Kue","232","30.5","3","2012","","","","","",""
"Yan Craft","Pembuatan Handycraft Kayu","35.3","30","4","2008","","","","","",""
"Sabrina Bika Ambon & Lapis Legis","Pembuatan Bika Ambon & Lapis Legit","94.2","723","1","2008","","","","","",""
"Karunia Atsiri","Pembuatan Miyak Atsiri","89.7","12","3","2008","","","","","",""
"Asli Rowo","Pengolahan Keripik Wader, Cethol","85.35","25.2","2","2008","","","","","",""
"AA Mebel","Pembuatan Mebel Kayu","326.5","200","40","2008","","","","","",""
"-","Pembuatan Mebel Kusen (Pintu, Meja, Kursi)","143.33","25","16","2008","","","","","",""
"Yakobus Family Cakoling","Pengolahan Angklung, Kolintang, Calung","28.62","0","11","2008","","","","","",""
"-","Pembuatan Legen","180.3","18","40","2008","","","","","",""
"Rege Makmur","Pembuatan Besek","84.2","2","20","2008","","","","","",""
"-","Pembuatan Wayang","153.25","6","2","2008","","","","","",""
"Albarokah","Pembuatan Mebel","101.58","10","9","2008","","","","","",""
"UD Barokah","Pembuatan Mebel","304.7","25","8","2008","","","","","",""
"Jamu Gendong","Pembuatan Jamu Gendong","99.5","0","4","2008","","","","","",""
"Jamu Tradisional","Pembuatan Jamu Gendong","110","0","2","2008","","","","","",""
"Jamu Tradisional Asep","Pembuatan Jamu Gendong","121","0","3","2008","","","","","",""
"-","Pembuatan Tahu Kedelai","450","9.5","13","2008","","","","","",""
"Nanto Batako Dan Paving","Pembuatan Batako","880","0","10","2008","","","","","",""
"Gading Jaya","Pembuatan Tas","240","0","5","2008","","","","","",""
"-","Pembuatan Krupuk Gandum dan Rengginan","179","10.5","2","2008","","","","","",""
"Sengkuyung","Pembuatan Kayu Bangunan","393.5","15","11","2008","","","","","",""
"Krupuk Delai & Rambak Mesran","Pembuatan Kerupuk Kedelai dan Rambak","191","22.5","4","2008","","","","","",""
"-","Pembuatan Wafer/Timuk","288","30","10","2008","","","","","",""
"Kun Gallery","Pembuatan Mebel dan Handycraff","305","0","3","2008","","","","","",""
"Pengolahan Kayu ""Supriyadi""","Pembuatan Mebel dan Kusen","174.5","0","4","2008","","","","","",""
"Perusahaan Pot Bunga Bagus","Pembuatan Pot Bunga dari Semen","291.8","13.5","7","2008","","","","","",""
"Meubel Jaya Sembung","Pembuatan Lemari","247","101","7","2008","","","","","",""
"Dc. Craft","Pembuatan Harley Davison","115.1","102","1","2008","","","","","",""
"Media Manfaat","Pembuatan Kaligrafi","72.95","20","2","2008","","","","","",""
"Sumber Rejeki","Pembuatan Dandang Panci","199","120","5","2008","","","","","",""
"Bengkel Las Sunarto","Pembuatan Pagar","310","250","5","2008","","","","","",""
"Carolina Food","Pembuatan Eag Rool","154.9","60","8","2008","","","","","",""
"Famago","Pembuatan Tas","6,420","360","15","2008","","","","","",""
"Monalia Co.","Pembuatan Gordyn","506","262","14","2008","","","","","",""
"Sari Rejeki","Pembuatan Makanan","410","140","5","2008","","","","","",""
"Agus","Pembuatan Tas","286","280","6","2008","","","","","",""
"Jaya Kencana","Pembuatan Baju","260.32","180","6","2008","","","","","",""
"Bulu Shoes","Pengolahan Sepatu","253.02","25.2","2","2008","","","","","",""
"Nina","Pembuatan Kain","432","81","5","2008","","","","","",""
"Kue Bolu Goreng Ibu","Kue Bolu Goreng","75.5","204","8","2009","","","","","",""
"Kue Panggang Beras Mami","Kue Panggang Beras","999.8","132","4","2009","","","","","",""
"Usaha Kue Paniaram","Kue Paniaram","17","393.12","3","2009","","","","","",""
"Usaha Kipang Dan Roti Gabin Daffa","Kipang Dan Roti Gabin","5.9","91","6","2009","","","","","",""
"Acc Konveksi","Konveksi","137","65.2","14","2009","","","","","",""
"Snack Ummy","Snack Ummy","0","0","1","2012","","","","","",""
"Es Dawet Ayu Banjar","Es Dawet Banjar","0","0","4","2012","","","","","",""
"Katon Ragil","Pengrajin Sepatu","33.9","590.4","5","2009","","","","","",""
"Kabul","Produksi Genteng","236.5","252","7","2009","","","","","",""
"Industri Tas","Pembuatan Tas","43.05","300","3","2008","","","","","",""
"Arisma Jaya","Pembuatan Tas dan Sepatu","683","520","5","2008","","","","","",""
"Industri Loyang","Pembuatan Loyang","51.5","96","1","2008","","","","","",""
"UD Gajah Mulia","Pengolahan Aluminium","231.3","520","8","2008","","","","","",""
"UD Putra Makmur","Pembuatan Furniture","405.5","190","1","2008","","","","","",""
"Produksi Gula M. Achyar","Gula Merah","134","36","1","2012","","","","","",""
"Industri Kerupuk Sagu","Membuat Kerupuk Sagu","112","24","2","2009","","","","","",""
"M.Yatim Bosa","Pembuatan Gula Aren","100","62","3","2009","","","","","",""
"Podo Joyo","Pembuatan Furniture","167.37","134","7","2008","","","","","",""
"Usaha Tahu Suparni","Pembuatan Tahu","122.97","88","9","2008","","","","","",""
"Mangku Art Studio","Pembuatan Lukisan","187","37","1","2008","","","","","",""
"Sumarta Shop","Pembuatan Alat Musik","114","32","1","2008","","","","","",""
"Rai Art Studio","Pembuatan Barang Kerajinan","383.73","69","6","2008","","","","","",""
"Bengkel Las ATS","Industri Pengelasan","115","232","3","2012","","","","","",""
"Tata Surya Gypsum","Industri Gypsum","237","795","6","2012","","","","","",""
"Padma Art Shop","Pembuatan Lukisan","10.5","72","2","2008","","","","","",""
"Eka Burger","Pembuatan Kue","74","1,404","8","2008","","","","","",""
"Bali Pot Keramik","Pembuatan Sarung Bantal","381","135","10","2008","","","","","",""
"Wana Orchids","Pembuatan Kue","63","180","4","2008","","","","","",""
"Jatayu Bali","Pembuatan Pakaian","157.5","178","1","2008","","","","","",""
"Tempe Muhalip","Pengolahan Tempe","283.5","177.44","2","2011","","","","","",""
"Industri Tempe Subeckhi","Pengolahan Tempe","147.25","259.92","2","2011","","","","","",""
"Industri Tempe Wahyudi","Pengolahan Tempe","30","199.26","3","2011","","","","","",""
"Industri Tempe Tauhid","Pengolahan Tempe","158","133.92","3","2011","","","","","",""
"Industri Tempe Rasdi","Pengolahan Tempe","267.25","199.26","3","2011","","","","","",""
"Industri Tempe Tasmani","Pengolahan Tempe","152","133.92","3","2011","","","","","",""
"Industri Tempe Kuswanto","Pengolahan Tempe","33.5","133.92","2","2011","","","","","",""
"Industri Tempe Subhan","Pengolahan Tempe","33.75","133.92","2","2011","","","","","",""
"Industri Tempe Rasijan","Pengolahan Tempe","661.5","324","4","2011","","","","","",""
"Industri Tempe Nurhadi","Pengolahan Tempe","176.5","259.2","2","2011","","","","","",""
"Industri Tempe Tarjono","Pengolahan Tempe","297.5","177.44","2","2011","","","","","",""
"Industri Tempe Tarlin","Pengolahan Tempe","220.5","345.6","3","2011","","","","","",""
"Industri Tempe Wintoso","Pengolahan Tempe","34.5","129.6","2","2011","","","","","",""
"Industri Tempe Sarbini","Pengolahan Tempe","176.75","259.2","2","2011","","","","","",""
"DKS","Pembuatan pakaian jadi","307.42","159.5","19","2008","","","","","",""
"Tempira","Pembuatan Tas","203","21.25","10","2008","","","","","",""
"Dian Citra Utama Fashion","Pembuatan pakaian jadi","520","100","5","2008","","","","","",""
"Audia Tas","Pembuatan tas","385","125","4","2008","","","","","",""
"Altani Colection","Pembuatan tas","29.8","18.75","5","2008","","","","","",""
"SUYETNO","PABRIK TEMPE","55","70","7","2011","","","","","",""
"MUTIARA BAKERY","PEMBUATAN ROTI","265","960","7","2011","","","","","",""
"KARYA FAMILI","Keripik Pisang","83.7","36","4","2011","","","","","",""
"LIO BATA","GENTENG","113","46.8","5","2011","","","","","",""
"Usaha Kue Frederika","Industri Pengolahan","9.5","30.6","1","2011","","","","","",""
"Industri Kerupuk Tentrem","Pembuatan Kerupuk","53","480","10","2011","","","","","",""
"Florensa Collection","Pakaian Jadi","147","549","2","2011","","","","","",""
"Pengerajin Souvenir Hezisokhi","Pengerajin Souvenir","103","48","1","2012","","","","","",""
"Pengerajin Souvenir Hasaro","Pengerajin Patung Dan Ukiran","96","60","1","2012","","","","","",""
"Pengerajin Souvenir Sufikal","Pengerajin Souvenir","89","48","1","2012","","","","","",""
"-","Pembuatan Mebel Kusen (Pintu, Meja, Kursi)","143.33","25","16","2008","","","","","",""
"Yakobus Family Cakoling","Pengolahan Angklung, Kolintang, Calung","28.62","0","11","2008","","","","","",""
"-","Pembuatan Legen","180.3","18","40","2008","","","","","",""
"Rege Makmur","Pembuatan Besek","84.2","2","20","2008","","","","","",""
"-","Pembuatan Wayang","153.25","6","2","2008","","","","","",""
"Albarokah","Pembuatan Mebel","101.58","10","9","2008","","","","","",""
"UD Barokah","Pembuatan Mebel","304.7","25","8","2008","","","","","",""
"Jamu Gendong","Pembuatan Jamu Gendong","40","1","4","2008","","","","","",""
"Jamu Tradisional","Pembuatan Jamu Gendong","110","0","2","2008","","","","","",""
"Jamu Tradisional Asep","Pembuatan Jamu Gendong","121","0","3","2008","","","","","",""
"-","Pembuatan Tahu Kedelai","450","9.5","13","2008","","","","","",""
"Nanto Batako Dan Paving","Pembuatan Batako","880","0","10","2008","","","","","",""
"Gading Jaya","Pembuatan Tas","240","0","5","2008","","","","","",""
"-","Pembuatan Krupuk Gandum dan Rengginan","179","10.5","2","2008","","","","","",""
"Sengkuyung","Pembuatan Kayu Bangunan","393.5","15","11","2008","","","","","",""
"Krupuk Delai & Rambak Mesran","Pembuatan Kerupuk Kedelai dan Rambak","191","22.5","4","2008","","","","","",""
"-","Pembuatan Wafer/Timuk","288","30","10","2008","","","","","",""
"Kun Gallery","Pembuatan Mebel dan Handycraff","305","0","3","2008","","","","","",""
"Pengolahan Kayu ""Supriyadi""","Pembuatan Mebel dan Kusen","174.5","0","4","2008","","","","","",""
"Perusahaan Pot Bunga Bagus","Pembuatan Pot Bunga dari Semen","291.8","13.5","7","2008","","","","","",""
"Diva Art","Pembuatan Furniture (Mebel) Ukir","804","0","20","2008","","","","","",""
"-","Pembuatan Gula Kacang","242.25","0","2","2008","","","","","",""
"-","Pembuatan Kukusan, Tompo, Irik, dan Kalo","40.75","0","1","2008","","","","","",""
"Tembakau HS/Suharmi","Pengolahan Tembakau","792.5","0","6","2008","","","","","",""
"Audia Tas","Pembuatan tas","380","145","4","2008","","","","","",""
"Mandala Furniture","Pembuatan Furniture","6,300","170","4","2008","","","","","",""
"Randu Karya Furniture","Pembuatan furniture","1,190","97.5","18","2008","","","","","",""
"Edo Furniture","Pembuatan furniture","1,058","24.29","6","2008","","","","","",""
"Rumpun Jati Furniture","Pembuatan furniture","85","20.25","5","2008","","","","","",""
"Wulan Busana","Pembuatan pakaian pesanan","14.06","102","2","2008","","","","","",""
"Prima Taylor","Pembuatan pakaian pesanan","7","104","4","2008","","","","","",""
"Aneka Keripik "" Sudarno ""","Pembuatan Keripik","14,960,000","110.87","0","2011","","","","","",""
"Kerupuk "" Wagiyem ""","Pembuatan Kerupuk","8,540,000","72","0","2011","","","","","",""
"Sapu Ijuk Dan Pel "" Ulisa ""","Pembuatan Sapu Ijuk Dan Pel","26,600,000","324","1","2011","","","","","",""
"Bimobaru","Pembuatan Paving, Batako, dan bus Beton","2,050","20","40","2008","","","","","",""
"Riani Taylor","Pembuatan pakaian pesanan","4.4","93","2","2008","","","","","",""
"-","Pembuatan Keripik Singkong","111.62","146.2","4","2008","","","","","",""
"Adi Jaya Sablon","Pembuatan barang cetakan","32.5","105","8","2008","","","","","",""
"Didas Taylor","Pembuatan pakaian","47.5","102","3","2008","","","","","",""
"Aktuil Taylor","Pembuatan pakaian","64.5","103","4","2008","","","","","",""
"PENJAHIT AMALIA","JAHIT PAKAIAN","97.3","75","1","2011","","","","","",""
"Kusuma Jaya","Keripik Singkong","181,500,000","295.86","8","2011","","","","","",""
"Gracia Fibre Glass","Fiber Glass","535,000,000","200","12","2011","","","","","",""
"Dwi Tunggal Jati","Mebel Jati","41,000,000","540","3","2011","","","","","",""
"Tiwi Pastel","Produksi Pastel","7,060,000","354","7","2011","","","","","",""
"Mekar","Pengolahan Makaroni","15,860,000","480","12","2011","","","","","",""
"Susu Sari Kedelai","Susu Sari Kedelai","14,390,000","43.2","2","2011","","","","","",""
"Keripik Tani Agung","Pembuatan Keripik","15,200,000","55.2","2","2011","","","","","",""
"Roti Paino","Pembuatan Roti","16,800,000","363","2","2011","","","","","",""
"Tempe Wijayanto","Produksi Tempe","14,830,000","95.4","2","2011","","","","","",""
"Tunas Karya","Pembuatan Barang Kerajinan","84.79","69","1","2008","","","","","",""
"Kadek Darma","Pembuatan Barang Kerajinan","75.25","340","30","2008","","","","","",""
"Buana Sari","Pembuatan Barang Kerajinan","66.2","40","3","2008","","","","","",""
"Dodok Painting","Pembuatan Lukisan","78","210","4","2008","","","","","",""
"Made Sama Mask Maker","Pembuatan Barang Kerajinan","165","72","1","2008","","","","","",""
"Sedana Yoga","Pembuatan Barang Kerajinan","128","46.5","2","2008","","","","","",""
"Sejati Rotan","Pembuatan Barang Kerajinan","23","145","2","2008","","","","","",""
"UKM Toen Criping","Pembuatan Keripik Singkong Rasa Gadung","235,750,000","164.9","5","2011","","","","","",""
"Genteng Mas Tresno","Genteng","164.5","104","19","2013","","","","","",""
"Tempe","Tempe","52","75.5","2","2013","","","","","",""
"Perajin Sangkar Burung","Kerajinan Sangkar Burung","43.6","67","2","2013","","","","","",""
"Kembar Jaya Gorden","Goredeng","118","310","4","2013","","","","","",""
"Kerupuk Putra Sunda","Kerupuk","134","323","8","2013","","","","","",""
"Perajin Sangkar Burung","Perajin Sangkar Burung","20.6","95","3","2013","","","","","",""
"CV Rover","Konveksi","47","154","2","2013","","","","","",""
"Ira Furniture","Pembuatan furniture","1,073","150","7","2008","","","","","",""
"Cireng Dinasty","Cireng","136","2,280","11","2010","","","","","",""
"BATAKO FOKUS","PEMBUATAN BATAKO","161","360","5","2012","","","","","",""
"Kanthil Azzaro","Pembuatan Anthurium","908.4","0","2","2008","","","","","",""
"Barokah","Pengolahan Tempe","1,051","0","6","2008","","","","","",""
"Bagas Jaya","Pembuatan Makaroni, Stick Ketela, Opak, dan Balole","172","0","13","2008","","","","","",""
"Srikandi","Pembuatan Keripik Paru","381.55","97.5","5","2008","","","","","",""
"UDSido Dadi","Pembuatan Minuman Instan","901.74","50","6","2008","","","","","",""
"Albarokah Jaya Abadi","Pembuatan Mebel","88.15","40","3","2008","","","","","",""
"Titah Langit","Pembuatan Lukisan","638.75","10.5","2","2008","","","","","",""
"APE (Alat Permainan Edukatif) Bina Karya","Pembuatan Alat Permainan Edukatif","483.4","25","14","2008","","","","","",""
"Bulan Purnama","Pembuatan Kerupuk Rambak","91","18","3","2008","","","","","",""
"Krupuk Nglumpit","Pembuatan Kerupuk","38","15","2","2008","","","","","",""
"Dadi Makmur Cap Gurami","Pembuatan Kerupuk","107.4","25","4","2008","","","","","",""
"-","Pembuatan Batu Bata","12.07","9","5","2008","","","","","",""
"-","Pengolahan Rangkaian Parcel","64.65","20","16","2008","","","","","",""
"Cepak Mebel","Pembuatan Mebel","85.7","22","2","2008","","","","","",""
"Langgeng Jaya","Pembuatan Silikon (Pengkilat, Pembersih)","557.15","76.8","22","2008","","","","","",""
"-","Pembuatan Batu Bata","52.87","9","4","2008","","","","","",""
"Super","Pembuatan Kerupuk Rambak","39.5","30","5","2008","","","","","",""
"Suparno Bronjong","Pengrajin Bronjong","15,000,000","171","2","2011","","","","","",""
"Telenan ""Hadi Pranoto""","Pembuatan Telenan","59,400,000","75","1","2011","","","","","",""
"Genteng Press "" Garuda ""","Pembuatan Genteng","225,150,000","31.5","2","2011","","","","","",""
"Gito Jaya Abadi","Pembuatan Peti","347,000,000","266","13","2011","","","","","",""
"Batu Bata "" Pak Karmin""","Pembuatan Batu Bata","306,000,000","59.77","4","2011","","","","","",""
"Keripik Singkong Sutono","Produksi Keripik Singkong","14,095,000","210","8","2011","","","","","",""
"Ani Jati","Pembuatan Kusen Pintu","187,000,000","75","2","2011","","","","","",""
"Sabilal","TELUR ASIN","2,400,000","117","1","2011","","","","","",""
"Anyaman Bambu","Anyaman Bambu","4,800,000","84","3","2011","","","","","",""
"Usaha Mebel Pak Sunarto","Pembuatan Meubel","19,000,000","305","3","2011","","","","","",""
"Berkah","Pembuatan Keripik Cemilan","15,800,000","212","4","2011","","","","","",""
"Usaha Karak","Pembuatan Karak","5,000,000","12","5","2011","","","","","",""
"Tahu Dan Tempe "" Mbah Atmo ""","Pembuatan Tahu Dan Tempe","13,740,000","121.32","0","2011","","","","","",""
"Kerupuk Rambak "" Dewi ""","Pembuatan Rambak","20,400,000","97.2","6","2011","","","","","",""
"Keripik Singkong "" Maju Lancar ""","Pembuatan Aneka Keripik","10,440,000","226.8","6","2011","","","","","",""
"SINAR MAJU 2","Kripik Singkong","144.88","13.44","3","2011","","","","","",""
"Batu Bata H Attan Jaffar","Pembuatan Batu Bata","456","576","12","2008","","","","","",""
"Kurnia Jaya","Pembuatan Meubel","307.5","350","10","2008","","","","","",""
"Tahu Junino","Pembuatan Tahu","72.62","504.9","3","2008","","","","","",""
"Furniture","Pembuatan Meubel","28","300","6","2008","","","","","",""
"Roti Goreng Bolang Baling","Industri Makanan","19","30","1","2013","","","","","",""
"Sulam Usus Marni","Industri Sulam Usus","113","80","3","2013","","","","","",""
"Konveksi Zainal","Konveksi","82","51","1","2013","","","","","",""
"Usaha Pengrajin","Industri Pembuat Gitar","62","42","2","2013","","","","","",""
"Konveksi Agus Salim","Konveksi","54","80","3","2013","","","","","",""
"Toko Pakaian Heriana","Usaha Pakaian Jadi","52","120","1","2013","","","","","",""
"Konveksi Aziz","Konveksi","36","47","2","2013","","","","","",""
"Usaha Batu Bata","Pengrajin Batu Bata","20.5","23.1","4","2010","","","","","",""
"Gudang Bu Harti","Pengolahan Kelapa","80","188","2","2011","","","","","",""
"Konveksi Poniyati","Konveksi","372","354","10","2011","","","","","",""
"Sangkar Burung Supriyadi","Sangkar Burung","38.1","33.7","3","2013","","","","","",""
"Arif Sangkar Burung","Sangkar Burung","52.4","64","6","2013","","","","","",""
"Kerupuk Sinuh","Industri Kerupuk","37","124","6","2013","","","","","",""
"Merpati","Makanan Ringan","68","716","13","2013","","","","","",""
"Toko Baju Aminah","Pakaian Jadi","57","230.36","8","2011","","","","","",""
"KALUMATA SOFA","PEMBUAT SOFA","33","176","3","2012","","","","","",""
"KUE TRADISIONAL","PEMBUAT KUE TRADISIONAL","64","99","2","2012","","","","","",""
"SARI RAHA","FUFU IKAN CAKALANG","267","295","6","2012","","","","","",""
"PEMBUAT TOGE","PEMBUAT TOGE /KECAMBAH","126","78","1","2012","","","","","",""
"Anggi Fried Chicken","Pembuatan Ayam Goreng","111.5","12","1","2008","","","","","",""
"Isnaniah","Pembuatan Makanan / Catering","17.8","0","3","2008","","","","","",""
"Misran","Pembuatan Kue Cingkaruk","9.45","0","1","2008","","","","","",""
"Rahmani Sasirangan","Pembuatan Kain Sasirangan","24.6","12","5","2008","","","","","",""
"Mandiri Sasirangan","Pembuatan Kain Sasirangan","22.25","12","5","2008","","","","","",""
"Warung Ngurah","Pembuatan Sarung Pantai","24.7","83","4","2008","","","","","",""
"Meubel Kayu Agil","Meubel Kayu","49.6","89.4","1","2012","","","","","",""
"AINUN ROTI","PRODUKSI ROTI","62","214","3","2012","","","","","",""
"Anas Sasirangan","Pembuatan Kain Sasirangan","33.12","12","5","2008","","","","","",""
"Peyek Bu Siti","Produksi Peyek","8.9","63","2","2011","","","","","",""
"Wahana Gypsum","Produksi Gypsum","25","50","3","2011","","","","","",""
"Penjahit Bahdian","Menjahit Pakaian","257.5","110","1","2011","","","","","",""
"Kios Kelapa","Kelapa Parut","14.3","63","1","2011","","","","","",""
"Masikun Bata","Bata","100","57","2","2012","","","","","",""
"Mugiwati Bata","Bata","111","49.2","4","2012","","","","","",""
"Mutihar Bata","Bata","85","48.4","3","2012","","","","","",""
"Usaha Industri Kerupuk Rambat","Produksi Kerupuk","36.5","570","4","2012","","","","","",""
"Pengrajin Sangkar Burung Iwan Tea","Pengrajin Sangkar Burung","32.1","145","3","2012","","","","","",""
"USAHA TEMPE ALIYA","PRODUKSI TEMPE","70.85","136","3","2012","","","","","",""
"Mode Net","Pembuatan pakaian pesanan","107","123","2","2008","","","","","",""
"Warung Sunda Ibu Wawan","Pembuatan pakaian pesanan","12.4","96","5","2008","","","","","",""
"Wulan Busana","Pembuatan Furniture","14.06","102","10","2008","","","","","",""
"Cuwo Jaya Gypsum","Pembuatan Gypsum","47","125","10","2008","","","","","",""
"Super Telor","Pembuatan Interior Gypsum","12","1,902","20","2008","","","","","",""
"Abadi Celular","Pembuatan materi cetakan","9","238.5","2","2008","","","","","",""
"Selo Keramik","Pembuatan Guci dan pot","204","960","9","2008","","","","","",""
"Wuwung Keramik","Pembuatan accesoris genteng (atap rumah)","333.25","120","5","2008","","","","","",""
"Sanggar Sri Rejeki","Pembuatan Tempat buah","187.6","210","32","2008","","","","","",""
"Bayu Aji Batik","Pembuatan Wayang","19.1","24","8","2008","","","","","",""
"Suradi Leadher Dan Lamp","Pembuatan Kap lampu","725","1,552.50","22","2008","","","","","",""
"Sanggar Nakulo","Pembuatan Wayang","43.5","18","5","2008","","","","","",""
"Wayang Kulit "" Super Murah ""","Pembuatan Kap Lampu","223.15","120","10","2008","","","","","",""
"Batik Tulis Sungging Tumpuk","Pembuatan Kain Batik Tulis","42.45","6","20","2008","","","","","",""
"Peyek ""Febri""","Pembuatan Peyek Kacang","97.5","850","15","2008","","","","","",""
"Batik Tulis ""Sekar Kedhaton""","Pembuatan Bahan Baju, Jarik,dll","85.55","24","26","2008","","","","","",""
"Etnik Handycraft","Pembuatan Topeng","127.2","420","8","2008","","","","","",""
"Usaha Topi Zaidar","Pembuatan Topi","32","62","4","2008","","","","","",""
"Tahu Dan Tempe Barokah","Pembuatan Tempe Dan Tahu","5.98","225","2","2011","","","","","",""
"Sari Gizi","Industri Makanan Ringan","78.8","786","10","2011","","","","","",""
"Tahu Dan Tempe Ibu Sumilah","Pembuatan Tempe Dan Tahu","20.27","204","2","2011","","","","","",""
"NAZWA WATER","AIR MINUM","503.88","150","2","2011","","","","","",""
"USAHA PINANG AISYAH","PINANG KERING","78.36","43.2","4","2011","","","","","",""
"Batu Bata Jatmiko","Industri Batu Bata","80","52","3","2013","","","","","",""
"Sangkar Burung Rotan Nasirudin","Sangkar Burung Rotan","20","46","2","2013","","","","","",""
"USAHA IKAN FUFU","PENGASAPAN IKAN","71","120","4","2012","","","","","",""
"Kerupuk","Kerupuk","47","187.2","2","2009","","","","","",""
"Makanan Ringan Ali Udin","Gorengan","41","374.4","5","2009","","","","","",""
"Kerupuk Nurjana","Kemplang","25","0","4","2009","","","","","",""
"Dagang Kerupuk Ibu Hanim","Kemplang","53","216","4","2009","","","","","",""
"Usaha Dagang Keripik","Keripik","55","252","3","2009","","","","","",""
"Industri Kerupuk Khoiri","Kerupuk","312","108","4","2009","","","","","",""
"Meubel Pesona","Meubel","42","43.2","3","2009","","","","","",""
"UD. Arjuna","Pembuatan Gorong-Gorong","15.15","105","4","2008","","","","","",""
"Sumi Colection","Pembuatan Pakaian","29","60","3","2008","","","","","",""
"Usaha Kue Nining","Pembuatan Kue","136","106","5","2008","","","","","",""
"Rismayanti Bordir","Percetakan","29","68","2","2008","","","","","",""
"Bengkel Las Nur Abadi Teknik","Pembuatan Pagar, Kanopi dan Teralis","39","180","4","2008","","","","","",""
"PEMBUAT TAHU SUMEDANG","PEMBUAT TAHU SUMEDANG","52","216","3","2012","","","","","",""
"Kemplang Panggang","Pembuatan Kemplang","100","120","0","2009","","","","","",""
"Wahyu Gorden","Pembuatan Gorden","28","12","4","2008","","","","","",""
"KONVEKSI CIPTA BUSANA","Penjahit Konveksi","102.1","234","6","2011","","","","","",""
"AKUR SADULUR","KERIPIK PISANG","41","252","9","2011","","","","","",""
"IKM SANDAL","SANDAL","77.7","201.6","4","2011","","","","","",""
"RATU","IKAN BANDENG","136.99","536.4","3","2011","","","","","",""
"FORSITA","BANDREK","76.35","47.5","8","2011","","","","","",""
"AWAL PUTERA MANDIRI","SATE BANDENG","114.5","590.4","6","2011","","","","","",""
"KELOMPOK IKHLAS","Kertas Daur Ulang","173.6","17.3","10","2011","","","","","",""
"KARYA MANDIRI","Pembuatan Kusen","17.1","20.5","2","2011","","","","","",""
"Maju Jaya Collection","Pembuatan pakaian","588","450","5","2008","","","","","",""
"UD Akor","Pembuatan furniture","1,292.50","244","6","2008","","","","","",""
"UD Lancar","Pembuatan gypsum","1,035","102","25","2008","","","","","",""
"Toko Roti Mekkah","Pembuatan roti","97.2","104","8","2008","","","","","",""
"UD ARIS","Mesin","1,791.80","624","14","2008","","","","","",""
"Ripik Reformasi","Pembuatan keripik","203","135","4","2008","","","","","",""
"Industri Makanan Kecil","Roti Tawar","109","109","6","2009","","","","","",""
"Penjahit Siti Fatimah","Taylor","144","16","3","2012","","","","","",""
"UD Salogang","Pembuatan Meubel","60","104","3","2008","","","","","",""
"Irma Fashion","Pembuatan Pakaian","49","85","3","2008","","","","","",""
"Penjahit Ariyani","Pembuatan Pakaian","75","86","3","2008","","","","","",""
"Catering Melati","Pengolahan Makanan","263","7,500","60","2008","","","","","",""
"Penjahit Rossa","Pembuatan Pakaian","313","52.8","2","2008","","","","","",""
"Saluyu Bordir","Pembuatan Bordir","27","60","4","2008","","","","","",""
